timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-11-28 19:31:32, 0.0447335936, 0.0475968064, 0.1155153085, 0.0818001016, 2746.7069, 2629.5000, 766.0500, 17.0290
2025-11-28 19:31:37, 0.0389817839, 0.0407048172, 0.0541594741, 0.0585949098, 2825.4247, 2858.1644, 771.0900, 17.8858
2025-11-28 19:31:43, 0.0372552620, 0.0425669366, 0.0836915127, 0.0663376454, 2879.7917, 2651.9792, 771.4750, 19.3587
2025-11-28 19:31:49, 0.0493749266, 0.0350340341, 0.1002876343, 0.0607415462, 3007.7143, 2813.9821, 771.1150, 18.6762
2025-11-28 19:31:54, 0.0438736567, 0.0442043501, 0.0978540204, 0.0753688102, 2852.3220, 2715.6949, 774.0800, 18.3247
2025-11-28 19:32:00, 0.0539813051, 0.0527819687, 0.0669440418, 0.0599956877, 2849.8966, 2634.2414, 772.0200, 16.9579
2025-11-28 19:32:06, 0.0315431441, 0.0236667984, 0.0626395041, 0.0605570354, 2777.7922, 2616.1169, 772.0500, 17.2203
2025-11-28 19:32:11, 0.0330255907, 0.0315393216, 0.0850878549, 0.0511338887, 2701.9155, 2464.1127, 771.2150, 18.4480
2025-11-28 19:32:17, 0.0360393911, 0.0291621018, 0.0946732200, 0.0546684208, 2788.4722, 2671.5000, 770.9750, 19.0805
2025-11-28 19:32:23, 0.0473988719, 0.0464681460, 0.1202524811, 0.1058758938, 2840.1818, 2710.8030, 772.8750, 18.8656
2025-11-28 19:32:28, 0.0421576690, 0.0344523638, 0.0589518683, 0.0584952655, 3165.4211, 2931.2281, 771.7500, 18.9438
2025-11-28 19:32:34, 0.0789630183, 0.0625308824, 0.0557304948, 0.0429650103, 2817.2105, 2709.2807, 770.4300, 18.5101
2025-11-28 19:32:40, 0.0629022422, 0.0607903236, 0.0674830404, 0.0718525395, 2973.9344, 2887.7869, 770.2650, 19.3573
2025-11-28 19:32:46, 0.0651969214, 0.0489575730, 0.0512444298, 0.0739549642, 2886.8654, 2906.8269, 771.8750, 18.5857
2025-11-28 19:32:52, 0.0736905286, 0.0627924136, 0.0748258577, 0.0658024539, 2922.3220, 2843.8305, 767.6400, 17.4577
2025-11-28 19:32:58, 0.0653249304, 0.0654787417, 0.0444667011, 0.0416297505, 2814.0000, 2652.4762, 767.4800, 18.2162
2025-11-28 19:33:03, 0.0662293176, 0.0666270815, 0.0926090242, 0.0829094093, 2758.1940, 2763.0299, 765.8250, 17.6001
2025-11-28 19:33:09, 0.0669385466, 0.0686731026, 0.0713485827, 0.0626021983, 2953.9016, 2799.3115, 767.4550, 16.8297
