timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-11-24 17:35:22, 0.1320585555, 0.1510732911, 0.1831770772, 0.1669212933, 2731.1081, 2676.0676, 1052.1900, 26.3548
2025-11-24 17:35:28, 0.1580761564, 0.1334461655, 0.1274686586, 0.1089272494, 2600.1500, 2648.5333, 1043.4650, 27.2395
2025-11-24 17:35:34, 0.1123540589, 0.1275237141, 0.1582565076, 0.1847908302, 2825.3429, 2820.8571, 1038.3300, 25.2111
2025-11-24 17:35:40, 0.1291528364, 0.1406637620, 0.1177214044, 0.0868617460, 2753.7215, 2572.2532, 1032.2000, 25.5644
2025-11-24 17:35:47, 0.1226638456, 0.1623690704, 0.1118237779, 0.1041016419, 2645.4000, 2584.2429, 1026.7900, 28.1746
2025-11-24 17:35:53, 0.1472571591, 0.1400762412, 0.1172115892, 0.1234647369, 2466.6949, 2491.7627, 1015.7300, 25.1023
2025-11-24 17:35:59, 0.1365587468, 0.1236985262, 0.1323096432, 0.1182492405, 2737.0984, 2641.7377, 1008.6150, 27.7549
2025-11-24 17:36:05, 0.1361518487, 0.1226208514, 0.0847803708, 0.0873084275, 2967.9714, 2828.6429, 1005.0900, 25.4476
2025-11-24 17:36:11, 0.0924902216, 0.1775691087, 0.1021807977, 0.1424268016, 2539.5323, 2500.4677, 998.3150, 28.2208
2025-11-24 17:36:17, 0.1232490283, 0.1396805387, 0.1716975407, 0.1173614141, 2753.8551, 2627.2464, 989.7500, 23.4778
2025-11-24 17:36:24, 0.1074813343, 0.1198757187, 0.0983655234, 0.1484060225, 2655.3036, 2734.2500, 986.1150, 24.6307
2025-11-24 17:36:30, 0.1231164801, 0.1238102447, 0.1053242217, 0.1023086624, 2820.7778, 2684.5873, 979.5300, 24.8568
2025-11-24 17:36:36, 0.0970666725, 0.1077897517, 0.1338728892, 0.1350564100, 3013.1667, 2925.4848, 973.1300, 25.3176
2025-11-24 17:36:42, 0.0888018626, 0.1136598449, 0.1421780576, 0.1051717141, 2534.1304, 2530.1884, 970.5100, 24.1176
