timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-11-25 18:07:27, 0.3640977362, 0.3039771829, 0.0447497655, 0.0433314485, 2842.9492, 2836.1186, 762.7600, 18.9326
2025-11-25 18:07:33, 0.2265269301, 0.1977623379, 0.0625139184, 0.0647504465, 2922.4462, 2838.6615, 762.3550, 16.6976
2025-11-25 18:07:39, 0.2458121120, 0.1897733957, 0.0363308170, 0.0364441391, 2789.0926, 2699.0556, 766.7500, 18.4236
2025-11-25 18:07:44, 0.2651461123, 0.1794242780, 0.0587172292, 0.0495022289, 2809.6308, 2701.1231, 764.8900, 18.7331
2025-11-25 18:07:50, 0.1867785895, 0.1564349573, 0.0721081690, 0.0657323738, 3046.2632, 3010.1404, 763.6800, 16.9572
2025-11-25 18:07:56, 0.2306614939, 0.1766858868, 0.0424431989, 0.0516499045, 2688.7727, 2653.7424, 761.4350, 18.3634
2025-11-25 18:08:02, 0.2699092410, 0.1607025767, 0.0433944864, 0.0460877083, 2762.2785, 2662.1266, 762.2850, 18.7474
2025-11-25 18:08:07, 0.2037857370, 0.1655096549, 0.0812385460, 0.0694105332, 2894.4118, 2786.3971, 763.7100, 18.8336
2025-11-25 18:08:13, 0.1647610603, 0.1894397322, 0.0482122141, 0.0465400486, 2757.8772, 2662.2105, 761.1800, 18.3999
2025-11-25 18:08:19, 0.2385237124, 0.2482948071, 0.0425106194, 0.0612601341, 2760.2174, 2708.3623, 762.8500, 16.5604
2025-11-25 18:08:24, 0.1626046545, 0.2428959879, 0.0740137012, 0.0788479515, 2704.8571, 2668.6494, 763.8600, 18.5365
2025-11-25 18:08:30, 0.2980064526, 0.1966037805, 0.0697959642, 0.0746977027, 2883.2923, 2764.6769, 763.5750, 17.5483
2025-11-25 18:08:36, 0.2063622208, 0.1795301205, 0.0539485198, 0.0655775002, 2726.3091, 2650.5455, 765.2850, 20.5977
2025-11-25 18:08:42, 0.2451153198, 0.2003079740, 0.0618705908, 0.0454866413, 2677.4737, 2638.6316, 764.5150, 21.1107
2025-11-25 18:08:48, 0.2321482869, 0.2550120745, 0.0559469981, 0.0541321214, 2701.6184, 2455.9474, 760.3850, 18.2276
2025-11-25 18:08:53, 0.1595311113, 0.1463824920, 0.0534764999, 0.0498650749, 2725.4103, 2657.1538, 761.6900, 19.5104
2025-11-25 18:08:59, 0.1909222405, 0.2158327108, 0.0764535137, 0.0734785169, 2971.8000, 2819.1091, 762.3950, 19.1543
2025-11-25 18:09:05, 0.1767114902, 0.1472970657, 0.0520070406, 0.0578982792, 2752.3968, 2759.1746, 760.6400, 19.3435
2025-11-25 18:09:10, 0.2591677412, 0.1967936964, 0.0597222612, 0.0551858136, 2894.4946, 2787.8387, 760.2200, 21.3411
2025-11-25 18:09:16, 0.2343537389, 0.2247015425, 0.0551681692, 0.0469550395, 2651.7742, 2572.0000, 762.7000, 18.4719
