timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-12-03 17:42:19, 0.0447418383, 0.0382659940, 0.1101972298, 0.1096866798, 2852.5652, 2684.0145, 817.8600, 18.7641
2025-12-03 17:42:25, 0.0385859482, 0.0345998495, 0.1554206451, 0.1309412821, 2950.3387, 2738.1935, 817.2550, 19.3768
2025-12-03 17:42:31, 0.0438836028, 0.0342271376, 0.1098562753, 0.1037766793, 2792.2687, 2803.8209, 815.3250, 19.5699
2025-12-03 17:42:37, 0.0396378660, 0.0354621516, 0.0930627606, 0.1148270284, 2954.8873, 2870.5352, 817.4550, 20.0780
2025-12-03 17:42:43, 0.0345592020, 0.0357764088, 0.1144543403, 0.1058797621, 2891.9242, 2737.8485, 812.2300, 19.3064
2025-12-03 17:42:49, 0.0715067839, 0.0646754610, 0.0849971454, 0.0833375626, 2782.0154, 2728.7385, 810.8050, 19.7951
2025-12-03 17:42:56, 0.0605931878, 0.0642213082, 0.1345114071, 0.1185053281, 3278.7222, 3160.2963, 809.8500, 21.0736
2025-12-03 17:43:02, 0.0729667015, 0.0684959089, 0.1537142543, 0.1244190447, 2679.5946, 2594.6622, 807.4350, 19.3635
2025-12-03 17:43:08, 0.0968963297, 0.0947901860, 0.0916637581, 0.0712255326, 2793.7692, 2763.8846, 808.5250, 19.2974
2025-12-03 17:43:14, 0.0646093722, 0.0824475784, 0.1381512652, 0.1454076069, 3056.7612, 3039.9254, 804.9600, 19.9489
2025-12-03 17:43:20, 0.0808032703, 0.0674164652, 0.0822661698, 0.0837850782, 2980.6964, 2882.5179, 805.8950, 17.3978
2025-12-03 17:43:26, 0.0522989076, 0.0718528608, 0.1149619209, 0.0992856387, 3110.9636, 2960.9455, 801.9300, 19.0191
2025-12-03 17:43:32, 0.0708547806, 0.0700044653, 0.1349237356, 0.1071870959, 3237.9333, 3076.1778, 806.8000, 20.5482
2025-12-03 17:43:38, 0.0466538307, 0.0759440114, 0.0834257726, 0.0657180554, 2805.1250, 2677.2292, 808.2400, 18.3495
2025-12-03 17:43:44, 0.0833924946, 0.0805853745, 0.1239811980, 0.1060223159, 2909.9636, 2786.7818, 808.1700, 19.7649
2025-12-03 17:43:50, 0.0669533446, 0.0615073102, 0.1160935253, 0.1244950063, 2995.2239, 2898.2836, 806.9000, 20.8024
2025-12-03 17:43:57, 0.0599483169, 0.0503481676, 0.1111070048, 0.0953261511, 2851.0196, 2686.5098, 805.8650, 20.4538
2025-12-03 17:44:03, 0.0455398783, 0.0359313814, 0.0818083492, 0.0747043391, 2803.1356, 2551.3390, 802.5000, 20.0250
2025-12-03 17:44:09, 0.0635445356, 0.0583915103, 0.1142263796, 0.1282467225, 2589.0169, 2475.6271, 803.3700, 18.1349
2025-12-03 17:44:15, 0.0610307855, 0.0481474882, 0.0686688636, 0.0802486959, 3058.2222, 3007.0159, 804.5900, 19.2687
2025-12-03 17:44:21, 0.0531134950, 0.0488405292, 0.0796687561, 0.0836080023, 2773.3548, 2783.5000, 803.9250, 19.3623
2025-12-03 17:44:27, 0.0604758626, 0.0552761995, 0.1276871609, 0.1173395243, 2857.6000, 2799.5385, 805.4500, 20.1905
2025-12-03 17:44:33, 0.0595771235, 0.0447157525, 0.1016453434, 0.1002478116, 3089.6176, 2941.1618, 801.7150, 20.5566
2025-12-03 17:44:40, 0.0567899528, 0.0408169140, 0.1083897251, 0.1091429964, 2999.7045, 2898.0682, 800.7850, 19.3251
2025-12-03 17:44:45, 0.0298511263, 0.0329205704, 0.1715147332, 0.1038882485, 3414.9138, 2947.8621, 798.9700, 19.2647
2025-12-03 17:44:51, 0.0389055269, 0.0406762058, 0.1718811324, 0.2216753074, 2984.0484, 2958.9355, 802.1000, 20.1695
2025-12-03 17:44:58, 0.0506921326, 0.0603415077, 0.0966927475, 0.0867361315, 2968.8400, 2930.1800, 801.8250, 18.7578
2025-12-03 17:45:04, 0.0436889015, 0.0351459601, 0.1133714999, 0.1105065859, 3029.9259, 2969.4815, 801.6300, 20.1867
2025-12-03 17:45:10, 0.0387048412, 0.0466425608, 0.1257667706, 0.0870336419, 2903.5000, 2641.2586, 797.5850, 20.3608
2025-12-03 17:45:16, 0.0648749938, 0.0539362284, 0.1490713272, 0.1111786444, 3066.9841, 3115.9841, 800.5050, 19.2473
2025-12-03 17:45:22, 0.0544594179, 0.0467952263, 0.0863065958, 0.1085207467, 2930.2075, 2959.3774, 799.6200, 19.8511
2025-12-03 17:45:28, 0.0570186851, 0.0422434651, 0.1070048611, 0.1222078814, 2834.9107, 2846.7321, 800.8650, 17.7864
2025-12-03 17:45:34, 0.0388566045, 0.0440397486, 0.0992235270, 0.1013083752, 3037.4030, 2893.4776, 795.1050, 20.5622
2025-12-03 17:45:40, 0.0285871884, 0.0298182272, 0.1112096771, 0.1088252294, 2637.6957, 2525.1739, 799.9200, 19.0550
2025-12-03 17:45:46, 0.0710284155, 0.0580280424, 0.1777140982, 0.2290556526, 2994.5660, 2904.6415, 792.4300, 20.1672
2025-12-03 17:45:52, 0.0452455054, 0.0556432215, 0.1063109359, 0.0755372059, 2770.6806, 2670.8750, 793.8550, 19.0403
2025-12-03 17:45:58, 0.0640844339, 0.0519362388, 0.1108626319, 0.1200426354, 3048.0377, 2972.4717, 792.3450, 20.7641
2025-12-03 17:46:04, 0.0615904511, 0.0593113568, 0.1174742025, 0.1502224281, 3104.7167, 3055.8000, 791.7450, 20.9124
