timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-11-27 19:55:11, 0.1138946708, 0.0827073718, 0.0362699282, 0.0284605792, 2942.7451, 2764.0588, 763.1500, 18.8326
2025-11-27 19:55:16, 0.0866553241, 0.1025327687, 0.0284594293, 0.0328413274, 2865.1884, 2729.4783, 766.6150, 19.3121
2025-11-27 19:55:22, 0.1338070350, 0.1178274346, 0.0463804133, 0.0314473968, 2908.8727, 2762.4727, 763.3950, 17.6609
2025-11-27 19:55:28, 0.1094177822, 0.1030944780, 0.0281039353, 0.0266697623, 2837.4167, 2696.2083, 763.4550, 17.0745
2025-11-27 19:55:33, 0.1704152083, 0.1339981293, 0.0311731734, 0.0355340789, 2948.3968, 2896.7937, 765.7000, 18.9760
2025-11-27 19:55:39, 0.1355619567, 0.1208336863, 0.0395343366, 0.0355541621, 2855.1167, 2758.3167, 767.4350, 18.3672
2025-11-27 19:55:45, 0.0829480093, 0.0856057541, 0.0509066686, 0.0425183508, 2877.1481, 2780.3519, 766.0600, 19.6778
2025-11-27 19:55:50, 0.0783726267, 0.0793650255, 0.0478706982, 0.0481899652, 2908.9867, 2724.7733, 767.3800, 18.9546
2025-11-27 19:55:56, 0.1075001131, 0.0908524616, 0.0496400536, 0.0385944911, 3072.4082, 2830.3061, 765.3700, 18.3819
2025-11-27 19:56:02, 0.1445605504, 0.1033090255, 0.0604743107, 0.0393899752, 3156.4419, 2990.7209, 764.3350, 16.1732
2025-11-27 19:56:07, 0.1235557517, 0.1088671457, 0.0554353638, 0.0522416131, 2821.6957, 2796.4638, 764.8900, 17.8025
2025-11-27 19:56:13, 0.1042229355, 0.1421700806, 0.0400717369, 0.0272956499, 3070.7833, 2892.8500, 764.4950, 19.7714
2025-11-27 19:56:19, 0.1707114294, 0.1262944467, 0.0532344177, 0.0450782898, 3055.5000, 2891.3030, 764.0750, 20.1549
2025-11-27 19:56:25, 0.1312786651, 0.1130539154, 0.0495358206, 0.0521339778, 3096.1493, 2974.1493, 764.1900, 18.5441
2025-11-27 19:56:31, 0.1318193187, 0.1457888960, 0.0278707568, 0.0271747139, 3020.2931, 2790.3966, 765.1400, 17.5576
2025-11-27 19:56:36, 0.2097328715, 0.1359304916, 0.0439394743, 0.0411122978, 3019.1800, 2908.1800, 766.4150, 18.5619
2025-11-27 19:56:42, 0.1695689034, 0.1275778389, 0.0416621644, 0.0255289485, 2976.1429, 2813.2857, 764.9050, 17.5666
2025-11-27 19:56:48, 0.0983272427, 0.1045251173, 0.0332812257, 0.0435174662, 2830.9048, 2775.2698, 767.3050, 18.4849
