timestamp_UT, r0_L, r0_T, scint_L, scint_R, mean_counts_L, mean_counts_R, bg_flux_mean, bg_flux_std
2025-12-01 18:07:58, 0.0908570171, 0.0783141591, 0.1388844966, 0.1150751572, 2612.8696, 2428.1087, 772.1450, 20.9202
2025-12-01 18:08:04, 0.0668950890, 0.0608002919, 0.2757016002, 0.2651070460, 2752.2549, 2714.0980, 771.9650, 20.1942
2025-12-01 18:08:09, 0.0539706135, 0.0534382927, 0.2465691805, 0.1935052922, 2394.9508, 2432.5410, 771.1950, 21.4118
2025-12-01 18:08:15, 0.1012374507, 0.1023704371, 0.1964834372, 0.1699031662, 3249.5333, 3074.9500, 774.6150, 17.9757
2025-12-01 18:08:21, 0.0822623954, 0.1039512089, 0.1902196984, 0.1649831433, 2995.4118, 2968.2059, 771.2900, 20.7843
2025-12-01 18:08:27, 0.0806616379, 0.0748001825, 0.1613350182, 0.1414908408, 2832.3333, 2702.3571, 766.9750, 20.1202
2025-12-01 18:08:32, 0.0437610242, 0.0688905753, 0.1824137937, 0.1695707905, 2796.1250, 2699.0536, 758.7800, 18.3385
2025-12-01 18:08:38, 0.0506622838, 0.0536674760, 0.2015724897, 0.1884553552, 2713.3478, 2841.3696, 756.9600, 16.9897
2025-12-01 18:08:44, 0.0686334313, 0.0801683263, 0.2451150960, 0.3526634407, 2809.4545, 2923.8000, 753.7000, 17.0176
2025-12-01 18:08:50, 0.0964613350, 0.0900661183, 0.2203028453, 0.2522091103, 2665.8421, 2594.1842, 760.5650, 16.9975
2025-12-01 18:08:55, 0.0950972666, 0.0913317955, 0.2792632993, 0.2375699830, 3156.3462, 3030.4038, 760.4250, 17.6956
2025-12-01 18:09:01, 0.0770313945, 0.0867495312, 0.2501126707, 0.2938490329, 2836.5122, 2776.1220, 759.3350, 18.4552
2025-12-01 18:09:07, 0.0501560841, 0.0643585824, 0.2317097331, 0.1671846735, 2604.7838, 2511.8378, 758.4400, 16.8801
2025-12-01 18:09:13, 0.0517075415, 0.0447558632, 0.3141626394, 0.2775976086, 2851.1296, 2781.4630, 758.1350, 18.1702
2025-12-01 18:09:19, 0.0545906377, 0.0643287878, 0.2387219156, 0.2454260662, 2852.4043, 2784.2766, 758.4600, 17.7763
2025-12-01 18:09:24, 0.0857347684, 0.0851582371, 0.2076352161, 0.1898349368, 2409.4167, 2323.9167, 761.0850, 19.2955
2025-12-01 18:09:30, 0.0592579652, 0.0456111102, 0.3274862249, 0.2681695689, 2768.6957, 2715.9130, 765.9950, 20.5001
2025-12-01 18:09:36, 0.0511933704, 0.0651025594, 0.1885661836, 0.1641778243, 2702.1860, 2640.1395, 766.9150, 17.3928
2025-12-01 18:09:42, 0.0420100864, 0.0339063240, 0.1928983188, 0.1563516674, 2496.8293, 2217.2927, 766.4600, 17.3210
2025-12-01 18:09:48, 0.0456120509, 0.0593923307, 0.2039870175, 0.2166468855, 2343.0833, 2383.2708, 766.4550, 17.7780
2025-12-01 18:09:53, 0.0501927608, 0.0418062877, 0.4002481693, 0.3608256416, 2979.9259, 2857.9630, 762.0850, 18.3594
2025-12-01 18:09:59, 0.0576466545, 0.0485721712, 0.1807525562, 0.2009802639, 2658.5738, 2454.2951, 760.3900, 18.2038
2025-12-01 18:10:05, 0.0582053581, 0.0592621063, 0.2685903561, 0.3000043855, 2598.4800, 2581.4400, 761.5350, 19.5594
2025-12-01 18:10:11, 0.0536666064, 0.0458251458, 0.2645055968, 0.3830009419, 2444.7391, 2418.0870, 766.9650, 17.3091
2025-12-01 18:10:17, 0.0442784092, 0.0567923706, 0.2086634581, 0.2026858884, 2500.8085, 2416.7447, 764.3400, 20.0605
2025-12-01 18:10:22, 0.0535403169, 0.0422245811, 0.2207392112, 0.2397467026, 2488.4681, 2487.5319, 765.2000, 17.4508
2025-12-01 18:10:28, 0.0639985849, 0.0546453593, 0.2448964809, 0.2568570321, 2723.4706, 2809.2941, 765.1350, 19.0569
2025-12-01 18:10:34, 0.0643339595, 0.0572074288, 0.4838173505, 0.3226504032, 2674.7407, 2550.6852, 766.2300, 18.9089
2025-12-01 18:10:39, 0.0511478926, 0.0568163725, 0.3677680534, 0.3071595920, 2655.2500, 2441.3438, 767.1650, 17.6459
2025-12-01 18:10:45, 0.0603030883, 0.0479388575, 0.4693162667, 0.4517592359, 3235.3514, 3133.0000, 766.8850, 19.3104
2025-12-01 18:10:51, 0.0489280039, 0.0595076535, 0.2346988803, 0.2671932146, 2854.1304, 2788.6522, 769.7900, 17.1446
2025-12-01 18:10:57, 0.0655479961, 0.0712352850, 0.3344349641, 0.2525141248, 2550.5690, 2456.6034, 768.8850, 18.2940
2025-12-01 18:11:03, 0.0843575045, 0.1237558439, 0.1653186357, 0.1557856410, 2726.7391, 2691.3043, 764.4250, 18.0570
